"","year","area","variable","Agua","Emisiones GEI","Emisiones de CO₂","Energía","Materiales","Nitrógeno","Tierras de cultivo","PIB","Población","IDH-A","IDH"
"161",2020,"España","Absoluto",15961860791.7318,204317152.244893,197382031,116113459.912711,420648514.2237,1333021566.10726,17187399.0327007,1460507860454.33,47366010,NA,NA
"162",2021,"España","Absoluto",15316612980.1302,220888298.827906,214142985,NA,434591539.185303,1303186119.97352,17098275.6235434,1541121984348.17,47341860,NA,NA
"163",1860,"España","Per cápita",127.119026235615,1.97927701961901,0.123445083748881,0.623437805202038,4.06476464819282,9.05009521052916,1.06600426585246,1927.77246535971,NA,NA,NA
"164",1861,"España","Per cápita",135.340374891897,1.98578312350027,0.1276646920186,0.632349347680088,3.96280956608748,9.24934201042618,1.06891348103113,1929.40489457565,NA,NA,NA
"165",1862,"España","Per cápita",113.274397326678,1.98876793556103,0.138847784689603,0.632572072612886,4.27011399663465,9.25510746390323,1.07189459180965,1929.68052424006,NA,NA,NA
"166",1863,"España","Per cápita",137.779396952742,1.91750226519976,0.153893098867734,0.628997011672094,3.85724170412684,9.33726328564327,1.0748119432988,1956.35445124272,NA,NA,NA
"167",1864,"España","Per cápita",128.560947161216,1.94044586416081,0.1471235501765,0.636640174841864,4.28797991558378,9.33358934283517,1.07766694458513,1943.16224485349,NA,NA,NA
"168",1865,"España","Per cápita",125.842201301937,1.93734694830458,0.144764824120603,0.622199299535685,4.12503156990904,9.37367362410933,1.08039147604936,1862.08303716631,NA,NA,NA
"169",1866,"España","Per cápita",124.927988310393,1.98660935251993,0.143340010015023,0.606988320486546,4.03556839683455,9.47766238777236,1.0830552100856,1974.45242885884,NA,NA,NA
"170",1867,"España","Per cápita",135.32070058093,1.93845728171788,0.159522954091816,0.612560980589557,3.94173076615059,9.49930213172447,1.08565800659977,1943.71876797909,NA,NA,NA
"171",1868,"España","Per cápita",141.656539995916,1.93997041199878,0.165344604674291,0.605521342283495,4.02005540237807,9.20960599521286,1.08820066536917,1698.76750354792,NA,NA,NA
"172",1869,"España","Per cápita",151.644961295905,1.84332471280352,0.163409316154609,0.607654636187939,3.98513982854789,9.34410118641148,1.09068375711416,1757.92802840513,NA,NA,NA
"173",1870,"España","Per cápita",135.888804579522,1.88073972812464,0.189747299549411,0.621033805033384,4.04736470996439,9.54397747043188,1.09304066957262,1806.45630929533,NA,0.104607723968615,0.183270253225004
"174",1871,"España","Per cápita",123.93219435657,1.85404657430464,0.180743510886948,0.616208537238138,4.18928639605641,9.66912305547279,1.09533960887379,1945.42736090792,NA,0.10573615312053,0.18741942902769
"175",1872,"España","Per cápita",120.644232046123,1.87550718278881,0.199874961691695,0.599148795772629,4.10087963863692,9.43637621224813,1.09758116155511,2242.96538173614,NA,0.106864582272445,0.191568604830376
"176",1873,"España","Per cápita",148.860606216977,1.82294857760997,0.191569997556804,0.614714018827452,3.82922359178604,9.62577766338668,1.09976591900307,2423.90660503451,NA,0.10799301142436,0.195717780633061
"177",1874,"España","Per cápita",133.66817310022,1.89751413791031,0.189790248950027,0.595947251661451,4.16019482893436,9.54196060313817,1.10189509210657,2212.9284245324,NA,0.109121440576275,0.199866956435747
"178",1875,"España","Per cápita",143.975470306285,1.84929242507399,0.199567659367987,0.601010809919905,3.99528450841905,9.62022218612457,1.10390148991074,2273.85309155162,NA,0.11024986972819,0.204016132238433
"179",1876,"España","Per cápita",144.745297768835,1.9222289075556,0.215698760954971,0.602939284690197,3.9757486227955,9.85138390918515,1.10585295518198,2343.20058412424,NA,0.111378298880105,0.208165308041119
"180",1877,"España","Per cápita",141.771069214938,1.83458915855582,0.227744865385774,0.600442762109248,4.18250598681832,9.70337273547723,1.10775036873047,2598.25279162151,NA,0.11250672803202,0.212314483843805
"181",1878,"España","Per cápita",169.524902689995,1.70211470133542,0.225196378245488,0.602690568236986,3.94199336069148,9.75408726556785,1.10853391274533,2492.02007984809,NA,0.113635157183935,0.216463659646491
"182",1879,"España","Per cápita",136.79734592821,1.73251123997476,0.23686641221374,0.596598210361184,4.16886096845214,9.84163161168038,1.10814603584501,2313.52004842616,NA,0.11476358633585,0.220612835449177
"183",1880,"España","Per cápita",146.410319717552,1.77876175211134,0.261885046562667,0.611685085739952,3.99577426747679,10.0498020336239,1.1077222577131,2517.07559103517,NA,0.115892015487765,0.224762011251863
"184",1881,"España","Per cápita",130.386258641145,1.8681889580047,0.290941183411008,0.615367784997833,4.2879502662581,9.82290496003069,1.10495499586953,2534.70857859047,NA,0.117391761743328,0.227968834148341
"185",1882,"España","Per cápita",146.072590816934,1.7518124965838,0.315813882532418,0.613945585402916,3.89054503829395,9.70689714093239,1.10222560784659,2544.29202896587,NA,0.118891507998891,0.23117565704482
"186",1883,"España","Per cápita",151.940984112151,1.71934062349457,0.34446218487395,0.607622929771707,4.03116705772998,9.86540230255206,1.09946767823617,2579.83806415601,NA,0.120391254254455,0.234382479941298
"187",1884,"España","Per cápita",109.933112754951,1.71312740047149,0.340669065583285,0.609753991269758,4.33815649839714,9.92826343450117,1.09669361015261,2587.09464438483,NA,0.121891000510018,0.237589302837777
"188",1885,"España","Per cápita",116.808355791845,1.59027228728883,0.332494833458408,0.603699540289686,4.05588394940577,9.83142103755063,1.09402989798869,2490.29528688953,NA,0.123390746765581,0.240796125734255
"189",1886,"España","Per cápita",131.977586904152,1.59356790347079,0.349823860374325,0.602591515601143,3.83555620072776,9.72338965613312,1.09181850906701,2432.04825964093,NA,0.124890493021144,0.244002948630733
"190",1887,"España","Per cápita",138.193169113897,1.62488552532977,0.350646034374465,0.614592511744183,4.08571390254693,9.96591677149342,1.08850118199792,2378.44576565618,NA,0.126390239276708,0.247209771527212
"191",1888,"España","Per cápita",123.001368551579,1.64202283859943,0.365567272727273,0.618401164323862,4.12618787343022,10.030853286086,1.08570938238685,2472.12096473323,NA,0.127889985532271,0.25041659442369
"192",1889,"España","Per cápita",129.741370852108,1.63257272422403,0.385924199570087,0.619611873400972,3.95382531119351,9.79817883550435,1.077157170215,2465.85330760777,NA,0.129389731787834,0.253623417320169
"193",1890,"España","Per cápita",124.737467313927,1.70952692501594,0.413301345948077,0.622903366692807,3.8586722686807,9.68582815219306,1.06727646406484,2459.6170115845,NA,0.130889478043397,0.256830240216647
"194",1891,"España","Per cápita",120.15937756174,1.72892469891192,0.445160798385288,0.619300132909781,3.68898665927988,9.61628882011756,1.05976479878896,2506.06565570884,NA,0.132054724461391,0.259188194278722
"195",1892,"España","Per cápita",120.925708697758,1.72263171315691,0.463215003348962,0.636533407380063,3.94009546620878,9.44797585398501,1.05203061390456,2716.73759265755,NA,0.133219970879384,0.261546148340796
"196",1893,"España","Per cápita",152.475070883273,1.69259507721792,0.451179373194043,0.608175113689157,3.82360706905725,9.53787756056955,1.04449285217059,2599.66320224153,NA,0.134385217297378,0.26390410240287
"197",1894,"España","Per cápita",135.875262192029,1.66306464514351,0.483236114184554,0.620115361630972,3.9408629759694,9.55860267012277,1.03748702657405,2629.26711772622,NA,0.135550463715371,0.266262056464945
"198",1895,"España","Per cápita",117.116093557032,1.73387407571334,0.473815718455692,0.630451841241904,3.81418953701431,9.50322358504732,1.03042298542622,2584.8320355673,NA,0.136715710133365,0.268620010527019
"199",1896,"España","Per cápita",142.929517554915,1.60500117221975,0.510083123149468,0.626284252263517,3.4956915327438,9.28209967124836,1.02368323957573,2328.16006867657,NA,0.137880956551359,0.270977964589094
"200",1897,"España","Per cápita",141.415336476456,1.82510026152261,0.521,0.625053842065768,3.75653005686521,10.0028601882375,1.03474778001348,2465.89789942561,NA,0.139046202969352,0.273335918651168
"201",1898,"España","Per cápita",142.235187640615,1.65274096007036,0.509320291272688,0.628689282865875,4.03481362877056,10.103803061967,1.03260220571583,2624.47174262493,NA,0.140211449387346,0.275693872713243
"202",1899,"España","Per cápita",156.942805363985,1.7926277557559,0.574853927721272,0.636761270491337,3.93350552891707,9.87166481356874,1.01415878305247,2632.63867169707,NA,0.141376695805339,0.278051826775317
"203",1900,"España","Per cápita",139.3692178746,1.70360498528407,0.604285683507487,0.655179812624072,3.98314745859664,9.66085408429781,1.0047099418175,2672.39052813789,NA,0.142541942223333,0.280409780837392
"204",1901,"España","Per cápita",142.158000775968,1.61440260936211,0.632692427246905,0.67986780994901,4.37870628115456,9.73058598434393,0.999140346387516,2881.45219330882,NA,0.144465752980839,0.28484462952374
"205",1902,"España","Per cápita",135.781939025535,1.7125138113435,0.656625931445604,0.675790417290443,4.16956463457333,9.99868609116429,1.01058965098158,2736.10636133698,NA,0.146389563738346,0.289279478210089
"206",1903,"España","Per cápita",154.585113019146,1.57456095824167,0.643557904751837,0.668030448801752,4.1014477749261,9.52069206296208,0.991321211528989,2708.81399011481,NA,0.148313374495852,0.293714326896438
"207",1904,"España","Per cápita",158.550254177359,1.66651393376181,0.682023307086614,0.667809409159321,3.94280528891814,9.34356205648895,0.975302258959727,2657.07890709911,NA,0.150237185253358,0.298149175582787
"208",1905,"España","Per cápita",168.509558714976,1.71129798869794,0.709321904562797,0.685903255035873,4.03730394060181,9.14668669024086,0.958919825097943,2618.87336990843,NA,0.152160996010865,0.302584024269135
"209",1906,"España","Per cápita",150.854739217111,1.77361808072045,0.717587078069994,0.685948862787959,4.22792448433896,9.97354517211127,0.996712855092529,2770.93830995485,NA,0.154084806768371,0.307018872955484
"210",1907,"España","Per cápita",176.291499919188,1.9262435464851,0.724699640102828,0.687519171004821,4.10258622557687,9.47205789743237,0.978134856197977,2824.15853093858,NA,0.156008617525878,0.311453721641833
"211",1908,"España","Per cápita",145.925379703918,1.74249038101523,0.754875670155731,0.667401873878676,4.1863802959758,9.80926159957339,0.974339336091226,2912.79696893228,NA,0.157932428283384,0.315888570328182
"212",1909,"España","Per cápita",158.000949584897,1.70886707649483,0.76899224177273,0.682746186926764,4.27407546267299,9.98998574681902,0.962434639882689,2974.25662855563,NA,0.159856239040891,0.32032341901453
"213",1910,"España","Per cápita",145.661587627353,1.74136672408362,0.750033235975425,0.685992640935857,4.05149454921757,9.95112362241192,0.951465206480466,2819.26289215788,NA,0.161780049798397,0.324758267700879
"214",1911,"España","Per cápita",149.449153112237,1.74336620870031,0.736685005501651,0.696742932920218,4.39691049321758,10.29779775796,0.968595444033104,3023.66160760488,NA,0.163703860555903,0.329193116387228
"215",1912,"España","Per cápita",162.155212187358,1.66720925116698,0.794036565977742,0.711590389464257,3.93063633224761,9.85424454982338,0.944333863703615,2911.0817455801,NA,0.16562767131341,0.333627965073577
"216",1913,"España","Per cápita",159.972757003366,2.08367794195578,0.859628682820905,0.71511583745328,4.1091678710346,9.92958024752469,0.959474024129619,3063.30946753964,NA,0.167551482070916,0.338062813759925
"217",1914,"España","Per cápita",148.657924994795,1.81125601890375,0.848191391312874,0.701956919996625,4.0485958172496,9.79516978342556,0.934295263603379,2958.19460123221,NA,0.166498876504246,0.341157279798763
"218",1915,"España","Per cápita",136.15196766159,1.67907067614205,0.745646749452155,0.673668098228582,4.1105760651841,9.75658194566125,0.959284103476057,2968.58530994699,NA,0.165446270937576,0.344251745837601
"219",1916,"España","Per cápita",175.217655288739,1.85287465613106,0.864202776568471,0.719193980859893,4.31248967559979,10.0715199357736,0.962862747830711,3072.80330379333,NA,0.164393665370906,0.347346211876438
"220",1917,"España","Per cápita",157.146096322352,1.62819063487815,0.761638748738648,0.714102932133196,4.28661125490577,10.133584998313,0.970523928846101,3010.17780382291,NA,0.163341059804236,0.350440677915276
"221",1918,"España","Per cápita",170.622968168371,2.00551591127074,0.798734510739857,0.713837566949341,4.15182285911478,9.61883025282981,0.974018918093763,2975.61107209285,NA,0.162288454237566,0.353535143954113
"222",1919,"España","Per cápita",158.383579327129,1.83836665532861,0.755175572519084,0.708037107923649,4.13588901672508,10.3976704487092,0.978899097632215,3020.83666798753,NA,0.161235848670896,0.356629609992951
"223",1920,"España","Per cápita",164.049702468161,1.74705941134341,0.661977392614921,0.655201452637338,4.30325331445137,11.4096394044302,0.968542472461889,3239.31849128423,NA,0.160183243104226,0.359724076031789
"224",1921,"España","Per cápita",148.460230530414,1.80045218156458,0.693406566718042,0.659914386505758,4.29349514755435,10.7286469020024,0.966521802721365,3317.85415618649,NA,0.159130637537556,0.362818542070626
"225",1922,"España","Per cápita",160.659020881443,1.83435066720117,0.690854124283336,0.667456261003503,4.23636394829313,10.1254951159327,0.939875239025656,3423.21951907807,NA,0.158078031970886,0.365913008109464
"226",1923,"España","Per cápita",170.577803519443,2.00875356007245,0.787910102073511,0.715327532334152,4.5609574823488,10.9527813192001,0.962796764888435,3428.84608780897,NA,0.157025426404216,0.369007474148301
"227",1924,"España","Per cápita",195.104652288188,2.00500750653979,0.833278173002855,0.72478295910946,4.26248249335076,11.0569073290069,0.948436453370481,3513.82669621257,NA,0.155972820837546,0.372101940187139
"228",1925,"España","Per cápita",176.600077891888,2.0166070241785,0.854692266283869,0.721550838211428,4.72991912103758,11.5009829410986,0.963029553499028,3720.18591832496,NA,0.154920215270876,0.375196406225977
"229",1926,"España","Per cápita",178.733460304764,2.10377564367793,0.816174793498535,0.721686080229066,4.50864424562261,11.64385646408,0.959708989973179,3645.58545934928,NA,0.156584952337318,0.379534800205514
"230",1927,"España","Per cápita",181.770396035511,2.07372592090543,0.942778871939157,0.771523462420236,4.79511463864299,12.0684423405787,0.964511228126924,3954.17761020256,NA,0.158249689403761,0.383873194185051
"231",1928,"España","Per cápita",176.096641630387,1.96256360884491,0.902884101492797,0.734886850639985,4.46895927808789,11.1209826851853,0.928990140779541,3901.83504741955,NA,0.159914426470204,0.388211588164589
"232",1929,"España","Per cápita",161.469163886249,2.09957601219808,0.993905385609651,0.778635015157071,5.02236589561004,12.0433870198227,0.911417223593816,4168.51999539167,NA,0.161579163536646,0.392549982144126
"233",1930,"España","Per cápita",156.272692922436,2.10077681003383,0.969414971209213,0.75340859007942,4.58001387836152,11.961887741324,0.934539859644728,3918.26329715224,NA,0.183711076070206,0.395782305323427
"234",1931,"España","Per cápita",197.99315316839,2.05718304059353,0.91758631467793,0.758022349910253,4.52106744166472,11.6452861519624,0.933486960408949,3781.93855826095,NA,0.205842988603765,0.399014628502728
"235",1932,"España","Per cápita",143.491736166319,1.94628037728674,0.856625015692346,0.742255862502927,4.86468327430061,12.8158425661493,0.930081165130019,3851.0339446991,NA,0.227974901137324,0.402246951682029
"236",1933,"España","Per cápita",170.668942546023,1.80214759304926,0.746713539507504,0.710403484595636,4.4427479066374,12.0196086202543,0.908222082019497,3685.75603107227,NA,0.250106813670884,0.40547927486133
"237",1934,"España","Per cápita",182.64821430471,1.84977420382046,0.803855928374882,0.690332269724893,4.64098894205681,12.52153999892,0.912240185754764,3777.83847367826,NA,0.241678604145563,0.402227168524612
"238",1935,"España","Per cápita",183.556686581216,1.96253243282224,0.886372269010131,0.738204161497518,4.57111455468726,12.3518540546801,0.893625962348473,3802.31636790305,NA,0.233250394620243,0.398975062187895
"239",1936,"España","Per cápita",120.331055431674,1.30966046150416,0.312649093107618,0.516831686679407,3.83020480724416,11.1159146184149,0.789734097045274,2872.11937001217,NA,0.224822185094922,0.395722955851177
"240",1937,"España","Per cápita",169.582538765483,1.33942825382834,0.201905522501298,0.471885960546203,3.65482964966998,10.6388835713092,0.78248264727072,2650.11698887646,NA,0.216393975569602,0.392470849514459
"241",1938,"España","Per cápita",169.300511161908,1.45341900814987,0.511356936587681,0.586754511756289,3.86188326501099,10.1693870844309,0.775264439775129,2632.55115570167,NA,0.207965766044281,0.389218743177741
"242",1939,"España","Per cápita",134.50877612318,1.66709115674495,0.592741779989811,0.613562737492216,3.96532703769403,9.12497704993415,0.717090567356805,2881.37776998371,NA,0.205879028256388,0.396127644282411
"243",1940,"España","Per cápita",151.149899283065,1.95646316032601,0.809417245797259,0.699695292596991,4.02867328336928,9.20517326855124,0.765047815002439,3166.96562665576,NA,0.203792290468496,0.40303654538708
"244",1941,"España","Per cápita",130.931868768941,1.85302236121456,0.796717964509796,0.689317167885594,4.12047923382536,9.52386714338277,0.783681951552873,3187.30418006886,NA,0.201705552680603,0.409945446491749
"245",1942,"España","Per cápita",156.56080401286,2.24055357718199,0.84959682224429,0.692327048587909,4.2566479111751,9.15539478558951,0.767540591992844,3389.08084428193,NA,0.19961881489271,0.416854347596419
"246",1943,"España","Per cápita",148.068149218299,2.1473827223712,0.872017281236973,0.700352108097286,4.13611572950125,8.88689533983876,0.753749447610302,3546.60063779847,NA,0.197532077104817,0.423763248701088
"247",1944,"España","Per cápita",156.498600268696,2.09902290905382,0.935500150409867,0.711473206357601,4.27816766513955,8.63292681428765,0.739533046147999,3670.84428690895,NA,0.195445339316924,0.430672149805758
"248",1945,"España","Per cápita",178.553798210702,2.29978372748795,1.01914483993732,0.696656128606787,3.76581789421497,7.91467019649514,0.723037792320673,3352.92919966452,NA,0.193358601529031,0.437581050910427
"249",1946,"España","Per cápita",141.029065350503,2.19358614225202,1.00050584925218,0.724489911459698,4.23293238396049,8.61279091644919,0.736207797451393,3468.20320839177,NA,0.191271863741139,0.444489952015096
"250",1947,"España","Per cápita",145.446771467028,2.20924580028414,1.10540469455975,0.731614997315915,4.08907268797156,8.78395057386983,0.738265730982689,3509.07850953639,NA,0.189185125953246,0.451398853119766
"251",1948,"España","Per cápita",152.371255426318,2.19486366311034,1.15033334548238,0.735124409744388,4.05070604426911,8.59080941061434,0.736856000124011,3473.9224482393,NA,0.187098388165353,0.458307754224435
"252",1949,"España","Per cápita",140.246195488043,2.21557727504391,1.25287457958121,0.740702361789659,3.94646239787392,8.8074938248095,0.737771320619688,3430.70421520904,NA,0.18501165037746,0.465216655329104
"253",1950,"España","Per cápita",168.604203211444,2.05730388752431,1.13276438414575,0.770365732681906,4.00830393394026,10.686617132737,0.741553743422816,3459.44025191079,NA,0.182924912589567,0.472125556433774
"254",1951,"España","Per cápita",130.00518399982,2.02517474287837,1.12231923728912,0.788791226069159,4.39218121256928,10.6238342371088,0.74651777438043,3785.95933916314,NA,0.186435038916922,0.480461862968102
"255",1952,"España","Per cápita",146.76574867944,2.1223802403507,1.26578621899154,0.819078878958262,4.48068987509936,12.1956515360753,0.750253431796804,4099.39922657875,NA,0.189945165244276,0.488798169502431
"256",1953,"España","Per cápita",172.527329438608,2.2244756409815,1.29569452684004,0.839855945428277,4.2155925484789,11.5055305951956,0.744075944617456,4061.81735278103,NA,0.19345529157163,0.49713447603676
"257",1954,"España","Per cápita",157.993606357207,2.04652049018296,1.30217065394081,0.845879901951084,4.40320997272656,12.3875268306361,0.734621345570217,4322.01231223689,NA,0.196965417898985,0.505470782571089
"258",1955,"España","Per cápita",178.662239729881,2.099370154955,1.30057572382447,0.85642610789307,4.28086263762622,14.0286314808271,0.728050322290697,4436.7378733483,NA,0.200475544226339,0.513807089105418
"259",1956,"España","Per cápita",144.774091872622,2.01769397511389,1.35217661147845,0.906938916835393,4.43179680443821,13.9730281666216,0.72447797320213,4763.96260295762,NA,0.203439248523639,0.519056833555982
"260",1957,"España","Per cápita",155.108952708959,2.38020628941726,1.60033488805264,0.953957602932864,4.63306183011512,13.3236034249676,0.717333786713058,4893.4889663349,NA,0.206402952820938,0.524306578006547
"261",1958,"España","Per cápita",187.937296816539,2.4743125152284,1.76845982626562,0.967424321847811,4.81306314412999,15.7424972832032,0.710623025930042,5168.91108705091,NA,0.209366657118238,0.529556322457111
"262",1959,"España","Per cápita",144.55723376134,2.36924032707253,1.6214408664678,0.955984637786295,4.79802018537794,16.6158911764199,0.702448070493622,5079.29993782594,NA,0.212330361415538,0.534806066907675
"263",1960,"España","Per cápita",168.259083331568,2.1207333627063,1.50225355173088,0.954448920427097,4.63231032401105,16.1396760922448,0.694002964575891,5031.56658157244,NA,0.215294065712837,0.54005581135824
"264",1961,"España","Per cápita",210.003791097922,2.19378658084686,1.62866666576063,0.980718382130997,4.924572520707,18.1550392217481,0.700386852470751,5581.4375669116,NA,0.218526805152166,0.548364445739184
"265",1962,"España","Per cápita",202.051833015725,2.39242550593932,1.80918318376744,1.02676988754441,5.05935472057939,19.3342455132272,0.700887648433376,6075.90955503467,NA,0.221759544591494,0.556673080120128
"266",1963,"España","Per cápita",175.526213316999,2.23092052265384,1.74714152165105,1.05080547160785,5.25195532508956,19.2369500390161,0.688371450665335,6631.57269663534,NA,0.224992284030822,0.564981714501071
"267",1964,"España","Per cápita",231.289201722238,2.39098731002262,1.89416960383748,1.08883603196722,5.12886429094028,20.2808831198205,0.681342191327949,6938.49184363522,NA,0.228225023470151,0.573290348882015
"268",1965,"España","Per cápita",230.850328118321,2.69497133823662,2.06425037925621,1.11987664942352,5.44824980525845,20.5612194652089,0.672512050002168,7411.98478294517,NA,0.231457762909479,0.581598983262959
"269",1966,"España","Per cápita",213.423073945515,2.69161710595816,2.20786315778932,1.21230864368255,5.81173302999339,20.6641317356765,0.653972889372343,7872.84937281019,NA,0.235072905702213,0.587425196530647
"270",1967,"España","Per cápita",219.448328728564,2.92858102065863,2.42725420106833,1.23627122036208,5.88468996274584,22.0558208136972,0.640865360906068,8207.07437363839,NA,0.238688048494946,0.593251409798336
"271",1968,"España","Per cápita",205.76956295849,3.20739061764412,2.6963510153237,1.34180269846441,6.29112263932962,24.0250880416516,0.632930877110068,8598.88130808512,NA,0.24230319128768,0.599077623066024
"272",1969,"España","Per cápita",186.616401205242,3.24530634135053,2.64173717732459,1.3905177151685,6.72697078525852,26.0569879322842,0.628907553617834,9299.07016262028,NA,0.245918334080413,0.604903836333713
"273",1970,"España","Per cápita",256.933720546882,3.64294036832073,3.20320435308522,1.45538137220152,7.03002699809764,26.8820990727446,0.634399965528623,9502.93989062928,NA,0.249533476873146,0.610730049601401
"274",1971,"España","Per cápita",185.153908017498,4.08649758995395,3.51001946012312,1.5742411723413,7.44838822920683,26.8967308437918,0.620921246376798,9885.87730470188,NA,0.253064229983346,0.616878645699709
"275",1972,"España","Per cápita",189.745676552524,4.53446358131998,3.9160196019136,1.62265804865054,7.78085074506894,28.090215676468,0.617520741791275,10787.6926659897,NA,0.256594983093545,0.623027241798017
"276",1973,"España","Per cápita",241.738136067547,4.6227603635779,4.13627185754248,1.76789887194436,8.29349247130228,29.418476414804,0.607405649147263,11629.7017372387,NA,0.260125736203745,0.629175837896325
"277",1974,"España","Per cápita",218.24362528443,5.194194925656,4.60235218067656,1.86852941097809,8.57076109406872,30.3035560611402,0.60152610216042,12379.9497161515,NA,0.263656489313944,0.635324433994633
"278",1975,"España","Per cápita",219.295102495603,5.32860653880815,4.76581054161236,1.8955392437419,8.57203636954405,30.0775427941181,0.59339615547525,12613.3241179165,NA,0.267187242424143,0.641473030092941
"279",1976,"España","Per cápita",222.688200251504,5.69216045948462,5.15947526417641,1.9396184189488,9.9951336677674,29.5841849014365,0.581907300284761,13044.9859936766,NA,0.315272063891757,0.64767327969906
"280",1977,"España","Per cápita",199.188130535946,5.55763327641658,4.98243266829496,1.93061417236485,9.92759639068004,32.0463672437294,0.578982307279282,13335.2121388885,NA,0.36335688535937,0.65387352930518
"281",1978,"España","Per cápita",234.08081714132,5.55747997457311,5.02597284709919,2.02484341045605,9.93726497803209,30.3122834904045,0.572369406700117,13568.6761176162,NA,0.411441706826984,0.660073778911299
"282",1979,"España","Per cápita",243.208100099395,5.67019913732018,5.09867748974503,2.02878316417774,9.91547649149182,32.8746523667541,0.561759294420486,13678.0934187867,NA,0.459526528294597,0.666274028517419
"283",1980,"España","Per cápita",234.32655513716,5.78793150812673,5.35823578305373,2.02934015828358,10.0974412340857,34.8382106314174,0.556638907759984,14005.9345954545,NA,0.507611349762211,0.672474278123539
"284",1981,"España","Per cápita",238.348186228614,5.4318146891866,5.10698067325726,1.99883294435983,9.52563724815523,29.642230110319,0.54867849979983,13895.3144841843,NA,0.512412416500412,0.677001309787722
"285",1982,"España","Per cápita",256.190814483113,5.52687737904284,5.13387969610863,1.95438810738403,9.77497556306607,31.5559528711522,0.546998360221034,14046.1041622938,NA,0.517213483238613,0.681528341451905
"286",1983,"España","Per cápita",255.706013698036,5.24718162048104,4.96102138252804,1.96231452038338,9.65338570238558,26.1825350419875,0.542253457793792,14240.9447459924,NA,0.522014549976815,0.686055373116087
"287",1984,"España","Per cápita",250.553231648911,5.10434652410663,4.85147716172681,1.99800028580656,9.65171749054997,30.8768123862353,0.543229141092758,14313.3266483274,NA,0.526815616715016,0.69058240478027
"288",1985,"España","Per cápita",288.756318575844,5.13616311865826,4.90493330803675,1.98575543888457,9.66777735771775,32.4392147136901,0.53930162985611,14696.9656773837,NA,0.531616683453217,0.695109436444453
"289",1986,"España","Per cápita",294.370306710275,5.03874262865791,4.60324989260495,1.99355379879684,9.71549717690618,30.9964364253905,0.538244131876847,15242.9806916861,NA,0.537183213784648,0.701553550791495
"290",1987,"España","Per cápita",289.081760074214,5.07535149239539,4.60677484681218,2.01717103675906,10.304231404723,31.398172123544,0.535773277915217,16273.0850839134,NA,0.542749744116078,0.707997665138537
"291",1988,"España","Per cápita",251.515698060207,5.30845864817854,4.76440935537239,2.15497243132694,10.8862470821766,32.8726021188211,0.53036727401003,17275.5075523348,NA,0.548316274447509,0.714441779485578
"292",1989,"España","Per cápita",273.993056856787,6.06525673661112,5.42397623961918,2.20209358691326,11.8575037113391,36.1398091638573,0.528468754887969,18360.3506626901,NA,0.55388280477894,0.72088589383262
"293",1990,"España","Per cápita",318.647324518492,6.15786967273694,5.44391729676236,2.3386521204828,12.2931422207684,35.2728395937192,0.520287152509561,19215,NA,0.55944933511037,0.727330008179662
"294",1991,"España","Per cápita",299.251083452958,6.38305808200324,5.69816730152996,2.4196805828462,12.5681324044088,34.825624986069,0.518219423778475,19958.0596426949,NA,0.564672486136137,0.731782646506523
"295",1992,"España","Per cápita",254.52142985218,6.56743552967603,5.94126318277679,2.45512749351872,12.7175321012153,32.2919399436965,0.511474136127671,20329.1677408367,NA,0.569895637161904,0.736235284833384
"296",1993,"España","Per cápita",245.988345151844,6.24612663891406,5.7238784094192,2.35578895528283,11.8421416424204,27.9545835199788,0.503190907728611,20056.5396155114,NA,0.57511878818767,0.740687923160246
"297",1994,"España","Per cápita",307.230219686062,6.64016687424803,5.97562560940073,2.47492013856436,11.8306458253876,32.033043518376,0.468818120939469,20673.9544155358,NA,0.580341939213437,0.745140561487107
"298",1995,"España","Per cápita",293.683492634108,6.98503565611811,6.29237088619862,2.65534101583249,12.3836362319081,29.5834691008921,0.474891393974047,21522.0967887257,NA,0.585565090239204,0.749593199813968
"299",1996,"España","Per cápita",286.3969301751,6.69634368191693,5.95875515818087,2.61237943614037,12.7168494335913,35.9890013575724,0.48274394688119,22185.0667599765,NA,0.592232930801418,0.755776050284569
"300",1997,"España","Per cápita",280.844739651406,6.98289731976772,6.22677261119307,2.75918125896879,13.1169311663224,33.0809594321211,0.468296533547579,23113.6150704598,NA,0.598900771363633,0.76195890075517
"301",1998,"España","Per cápita",324.490395070403,7.11525465625729,6.38181005662705,2.88002879250422,14.347110181038,35.5092740469672,0.463460195990388,24284.8613174619,NA,0.605568611925847,0.768141751225771
"302",1999,"España","Per cápita",339.60599655352,7.77607711295682,6.91664129423428,3.0051046552983,15.3657939720148,37.0328095279048,0.454260395539829,25549.5396429092,NA,0.612236452488062,0.774324601696372
"303",2000,"España","Per cápita",346.713868770188,7.96031566924073,7.15867819204733,3.11926942520339,16.176607846959,38.8607073822856,0.451049123643419,26994.8601202917,NA,0.618904293050276,0.780507452166973
"304",2001,"España","Per cápita",344.479882348284,7.92548713945901,7.16330892536174,3.18053863492111,16.7058385569141,34.8730460226181,0.443702380007855,28153.5536129661,NA,0.623445969290111,0.784291156830514
"305",2002,"España","Per cápita",280.386981970321,8.30165904936861,7.51653359496338,3.21784777310824,17.9392203099869,31.8346095388478,0.437951757721896,28753.3227520684,NA,0.627987645529946,0.788074861494056
