"year","area","indicador","variable","valor","unidad","variable_unidad","indicador_unidad"
1860,"España","Agua","Absoluto",1988395808.37749,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1861,"España","Agua","Absoluto",2124708545.42789,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1862,"España","Agua","Absoluto",1784524855.48449,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1863,"España","Agua","Absoluto",2178154486.4259,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1864,"España","Agua","Absoluto",2039490865.76553,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1865,"España","Agua","Absoluto",2003407844.72683,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1866,"España","Agua","Absoluto",1995849541.24684,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1867,"España","Agua","Absoluto",2169461471.71348,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1868,"España","Agua","Absoluto",2278970415.45429,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1869,"España","Agua","Absoluto",2448156255.16109,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1870,"España","Agua","Absoluto",2201534522.99284,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1871,"España","Agua","Absoluto",2014889615.84911,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1872,"España","Agua","Absoluto",1968310645.8325,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1873,"España","Agua","Absoluto",2437145844.98435,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1874,"España","Agua","Absoluto",2196034415.86352,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1875,"España","Agua","Absoluto",2373723578.93971,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1876,"España","Agua","Absoluto",2394810951.58537,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1877,"España","Agua","Absoluto",2353825062.17562,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1878,"España","Agua","Absoluto",2827166802.16105,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1879,"España","Agua","Absoluto",2293817896.52423,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1880,"España","Agua","Absoluto",2468331580.11821,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1881,"España","Agua","Absoluto",2210177470.22605,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1882,"España","Agua","Absoluto",2489515165.29301,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1883,"España","Agua","Absoluto",2603660703.74582,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1884,"España","Agua","Absoluto",1894147532.76781,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1885,"España","Agua","Absoluto",2023471147.38212,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1886,"España","Agua","Absoluto",2298785608.69652,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1887,"España","Agua","Absoluto",2420176970.69168,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1888,"España","Agua","Absoluto",2164824086.50779,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1889,"España","Agua","Absoluto",2293567953.92356,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1890,"España","Agua","Absoluto",2214963207.0934,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1891,"España","Agua","Absoluto",2143162658.1912,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1892,"España","Agua","Absoluto",2166504997.02902,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1893,"España","Agua","Absoluto",2743941375.61538,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1894,"España","Agua","Absoluto",2456081239.38312,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1895,"España","Agua","Absoluto",2126476910.71502,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1896,"España","Agua","Absoluto",2606748541.16654,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1897,"España","Agua","Absoluto",2590728964.24867,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1898,"España","Agua","Absoluto",2617411922.9626,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1899,"España","Agua","Absoluto",2900930814.3479,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1900,"España","Agua","Absoluto",2587528899.05983,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1901,"España","Agua","Absoluto",2652526136.47879,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1902,"España","Agua","Absoluto",2551071070.41175,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1903,"España","Agua","Absoluto",2924595753.20923,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1904,"España","Agua","Absoluto",3020382342.07869,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1905,"España","Agua","Absoluto",3224093386.89364,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1906,"España","Agua","Absoluto",2913910142.71772,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1907,"España","Agua","Absoluto",3428869673.4282,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1908,"España","Agua","Absoluto",2857948561.50124,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1909,"España","Agua","Absoluto",3115936726.76375,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1910,"España","Agua","Absoluto",2892547807.10397,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1911,"España","Agua","Absoluto",2988086367.32607,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1912,"España","Agua","Absoluto",3263860110.90714,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1913,"España","Agua","Absoluto",3241527975.1592,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1914,"España","Agua","Absoluto",3032324354.04382,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1915,"España","Agua","Absoluto",2795880655.93075,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1916,"España","Agua","Absoluto",3622274587.78411,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1917,"España","Agua","Absoluto",3270367410.56448,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1918,"España","Agua","Absoluto",3574551183.12738,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1919,"España","Agua","Absoluto",3340468071.58847,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1920,"España","Agua","Absoluto",3483103282.80399,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1921,"España","Agua","Absoluto",3178681995.8867,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1922,"España","Agua","Absoluto",3474733303.62384,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1923,"España","Agua","Absoluto",3726613273.48928,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1924,"España","Agua","Absoluto",4305764571.34801,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1925,"España","Agua","Absoluto",3936768936.36596,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1926,"España","Agua","Absoluto",4024720059.14267,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1927,"España","Agua","Absoluto",4134731198.61976,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1928,"España","Agua","Absoluto",4046172534.7414,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1929,"España","Agua","Absoluto",3747699293.79984,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1930,"España","Agua","Absoluto",3663813285.56652,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1931,"España","Agua","Absoluto",4687487901.26163,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1932,"España","Agua","Absoluto",3429022019.16652,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1933,"España","Agua","Absoluto",4116876232.09517,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1934,"España","Agua","Absoluto",4447301370.10538,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1935,"España","Agua","Absoluto",4511639799.47971,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1936,"España","Agua","Absoluto",2985413485.25982,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1937,"España","Agua","Absoluto",4246855518.30398,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1938,"España","Agua","Absoluto",4279747621.66187,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1939,"España","Agua","Absoluto",3432260440.3352,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1940,"España","Agua","Absoluto",3893167955.8339,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1941,"España","Agua","Absoluto",3401479018.74832,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1942,"España","Agua","Absoluto",4099074970.66471,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1943,"España","Agua","Absoluto",3907074253.42326,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1944,"España","Agua","Absoluto",4161923775.54569,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1945,"España","Agua","Absoluto",4785598899.64324,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1946,"España","Agua","Absoluto",3809477113.2478,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1947,"España","Agua","Absoluto",3959497459.6469,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1948,"España","Agua","Absoluto",4180610135.13188,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1949,"España","Agua","Absoluto",3877947551.43987,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1950,"España","Agua","Absoluto",4731533516.36724,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1951,"España","Agua","Absoluto",3678887996.87875,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1952,"España","Agua","Absoluto",4190143045.25068,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1953,"España","Agua","Absoluto",4969499280.64783,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1954,"España","Agua","Absoluto",4591359452.09987,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1955,"España","Agua","Absoluto",5238152647.76925,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1956,"España","Agua","Absoluto",4282293421.42133,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1957,"España","Agua","Absoluto",4628701494.68501,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1958,"España","Agua","Absoluto",5658075590.17052,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1959,"España","Agua","Absoluto",4390619080.49343,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1960,"España","Agua","Absoluto",5155658036.81116,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1961,"España","Agua","Absoluto",6489934899.68834,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1962,"España","Agua","Absoluto",6295543338.26577,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1963,"España","Agua","Absoluto",5516759747.20185,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1964,"España","Agua","Absoluto",7341318633.95572,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1965,"España","Agua","Absoluto",7406719891.86587,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1966,"España","Agua","Absoluto",6926000260.10302,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1967,"España","Agua","Absoluto",7208937947.02371,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1968,"España","Agua","Absoluto",6839636439.81571,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1969,"España","Agua","Absoluto",6263981798.63285,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1970,"España","Agua","Absoluto",8704009788.4983,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1971,"España","Agua","Absoluto",6331348253.27719,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1972,"España","Agua","Absoluto",6548723083.91119,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1973,"España","Agua","Absoluto",8421362792.5545,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1974,"España","Agua","Absoluto",7678746347.92785,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1975,"España","Agua","Absoluto",7798909052.93096,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1976,"España","Agua","Absoluto",8016058153.04933,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1977,"España","Agua","Absoluto",7258216288.59934,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1978,"España","Agua","Absoluto",8628460959.39398,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1979,"España","Agua","Absoluto",9047344728.61089,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1980,"España","Agua","Absoluto",8784518256.54169,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1981,"España","Agua","Absoluto",8997834708.67918,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1982,"España","Agua","Absoluto",9730975125.66458,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1983,"España","Agua","Absoluto",9763920874.24409,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1984,"España","Agua","Absoluto",9611938798.84796,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1985,"España","Agua","Absoluto",11127182289.1413,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1986,"España","Agua","Absoluto",11394355131.7251,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1987,"España","Agua","Absoluto",11239701767.081,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1988,"España","Agua","Absoluto",9822664141.67525,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1989,"España","Agua","Absoluto",10744507029.9508,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1990,"España","Agua","Absoluto",12539017259.5952,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1991,"España","Agua","Absoluto",11796645290.3223,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1992,"España","Agua","Absoluto",10056836536.9631,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1993,"España","Agua","Absoluto",9740921998.2693,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1994,"España","Agua","Absoluto",12187859682.5724,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1995,"España","Agua","Absoluto",11667325637.7962,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1996,"España","Agua","Absoluto",11425215551.6594,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1997,"España","Agua","Absoluto",11250275172.2738,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1998,"España","Agua","Absoluto",13051921997.5497,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1999,"España","Agua","Absoluto",13712770543.6564,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2000,"España","Agua","Absoluto",14063834403.115,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2001,"España","Agua","Absoluto",14046143089.1595,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2002,"España","Agua","Absoluto",11617147649.8344,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2003,"España","Agua","Absoluto",14539703020.7055,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2004,"España","Agua","Absoluto",13102438322.4919,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2005,"España","Agua","Absoluto",15635753793.4643,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2006,"España","Agua","Absoluto",13614425245.6919,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2007,"España","Agua","Absoluto",11901628540.9053,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2008,"España","Agua","Absoluto",12280981441.4365,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2009,"España","Agua","Absoluto",14397564409.2211,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2010,"España","Agua","Absoluto",12535937747.1614,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2011,"España","Agua","Absoluto",13836006725.3546,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2012,"España","Agua","Absoluto",16676163011.2206,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2013,"España","Agua","Absoluto",13677012891.9623,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2014,"España","Agua","Absoluto",15981051328.662,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2015,"España","Agua","Absoluto",16479976158.8077,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2016,"España","Agua","Absoluto",16237979546.8747,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2017,"España","Agua","Absoluto",16486617536.4296,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2018,"España","Agua","Absoluto",13534741603.237,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2019,"España","Agua","Absoluto",17481030814.4299,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2020,"España","Agua","Absoluto",15961860791.7318,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
2021,"España","Agua","Absoluto",15316612980.1302,"Metros cúbicos","Absoluto (m³)","Agua (m³)"
1860,"España","Agua","Intensidad",65.9408869666034,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1861,"España","Agua","Intensidad",70.1461757832137,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1862,"España","Agua","Intensidad",58.7011144610519,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1863,"España","Agua","Intensidad",70.4266023292566,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1864,"España","Agua","Intensidad",66.1606860166787,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1865,"España","Agua","Intensidad",67.5814122088997,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1866,"España","Agua","Intensidad",63.272219925094,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1867,"España","Agua","Intensidad",69.6194854987306,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1868,"España","Agua","Intensidad",83.3878324726968,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1869,"España","Agua","Intensidad",86.2634640585849,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1870,"España","Agua","Intensidad",75.2239641115538,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1871,"España","Agua","Intensidad",63.7043545530947,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1872,"España","Agua","Intensidad",53.7878261646375,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1873,"España","Agua","Intensidad",61.4135073966095,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1874,"España","Agua","Intensidad",60.4032971054926,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1875,"España","Agua","Intensidad",63.3178417907551,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1876,"España","Agua","Intensidad",61.7724742600012,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1877,"España","Agua","Intensidad",54.5640014982769,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1878,"España","Agua","Intensidad",68.0271014109681,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1879,"España","Agua","Intensidad",59.1295268961557,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1880,"España","Agua","Intensidad",58.16683465487,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1881,"España","Agua","Intensidad",51.4403350911651,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1882,"España","Agua","Intensidad",57.41188085092,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1883,"España","Agua","Intensidad",58.8955509352321,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1884,"España","Agua","Intensidad",42.4928840518286,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1885,"España","Agua","Intensidad",46.9054237892175,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1886,"España","Agua","Intensidad",54.2660230449692,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1887,"España","Agua","Intensidad",58.102299875554,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1888,"España","Agua","Intensidad",49.7554004461316,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1889,"España","Agua","Intensidad",52.6152023933553,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1890,"España","Agua","Intensidad",50.7141830319227,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1891,"España","Agua","Intensidad",47.9474180127789,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1892,"España","Agua","Intensidad",44.5113687183407,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1893,"España","Agua","Intensidad",58.6518556526104,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1894,"España","Agua","Intensidad",51.677998509917,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1895,"España","Agua","Intensidad",45.3089763456633,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1896,"España","Agua","Intensidad",61.3916197077302,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1897,"España","Agua","Intensidad",57.3484151591989,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1898,"España","Agua","Intensidad",54.1957397866113,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1899,"España","Agua","Intensidad",59.6142596594219,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1900,"España","Agua","Intensidad",52.1515161826712,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1901,"España","Agua","Intensidad",49.3355402897474,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1902,"España","Agua","Intensidad",49.6259724929647,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1903,"España","Agua","Intensidad",57.0674522441441,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1904,"España","Agua","Intensidad",59.6708866092569,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1905,"España","Agua","Intensidad",64.3442942492743,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1906,"España","Agua","Intensidad",54.4417530607418,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1907,"España","Agua","Intensidad",62.4226643044005,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1908,"España","Agua","Intensidad",50.0980264880627,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1909,"España","Agua","Intensidad",53.1228368352417,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1910,"España","Agua","Intensidad",51.6665501583866,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1911,"España","Agua","Intensidad",49.4265471825135,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1912,"España","Agua","Intensidad",55.7027340209728,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1913,"España","Agua","Intensidad",52.2221991276157,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1914,"España","Agua","Intensidad",50.2529228242362,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1915,"España","Agua","Intensidad",45.8642597217533,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1916,"España","Agua","Intensidad",57.0220863380469,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1917,"España","Agua","Intensidad",52.2049216238249,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1918,"España","Agua","Intensidad",57.3404803364863,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1919,"España","Agua","Intensidad",52.4303683828902,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1920,"España","Agua","Intensidad",50.6432766365999,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1921,"España","Agua","Intensidad",44.7458578773254,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1922,"España","Agua","Intensidad",46.9321409234984,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1923,"España","Agua","Intensidad",49.7478741101624,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1924,"España","Agua","Intensidad",55.5248363553284,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1925,"España","Agua","Intensidad",47.470766722165,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1926,"España","Agua","Intensidad",49.0273681135064,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1927,"España","Agua","Intensidad",45.9692037015502,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1928,"España","Agua","Intensidad",45.1317494179686,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1929,"España","Agua","Intensidad",38.7353698830171,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1930,"España","Agua","Intensidad",39.883152578341,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1931,"España","Agua","Intensidad",52.3522923808241,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1932,"España","Agua","Intensidad",37.2605742319757,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1933,"España","Agua","Intensidad",46.3050025848758,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1934,"España","Agua","Intensidad",48.3472799531516,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1935,"España","Agua","Intensidad",48.2749642114726,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1936,"España","Agua","Intensidad",41.8962584522257,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1937,"España","Agua","Intensidad",63.9905858787685,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1938,"España","Agua","Intensidad",64.3104354478474,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1939,"España","Agua","Intensidad",46.6821037922913,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1940,"España","Agua","Intensidad",47.7270413075735,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1941,"España","Agua","Intensidad",41.0791883585181,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1942,"España","Agua","Intensidad",46.1956533958197,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1943,"España","Agua","Intensidad",41.749315567205,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1944,"España","Agua","Intensidad",42.6328626432902,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1945,"España","Agua","Intensidad",53.2530774072317,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1946,"España","Agua","Intensidad",40.6634377735611,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1947,"España","Agua","Intensidad",41.4487082781867,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1948,"España","Agua","Intensidad",43.8614441446569,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1949,"España","Agua","Intensidad",40.879710604692,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1950,"España","Agua","Intensidad",48.7374230898531,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1951,"España","Agua","Intensidad",34.338769213659,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
1952,"España","Agua","Intensidad",35.801770105208,"Litros por dólar (2011)","Intensidad (L/$)","Agua (L/$)"
